second,Volt
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,0.00E+00
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,0.00E+00
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,-4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,1.69E-02
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,0.00E+00
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,4.22E-03
-2.00E+00,0.00E+00
-2.00E+00,4.22E-03
-2.00E+00,8.44E-03
-2.00E+00,0.00E+00
-2.00E+00,8.44E-03
-2.00E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,0.00E+00
-1.99E+00,8.44E-03
-1.99E+00,0.00E+00
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,1.27E-02
-1.99E+00,4.22E-03
-1.99E+00,1.27E-02
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,0.00E+00
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,0.00E+00
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,1.27E-02
-1.99E+00,4.22E-03
-1.99E+00,0.00E+00
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,-8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,0.00E+00
-1.99E+00,4.22E-03
-1.99E+00,1.27E-02
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,0.00E+00
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,8.44E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
-1.99E+00,4.22E-03
